date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-29,28.06,28.2,27.16,26.9,45949.22,-0.82,-2.93,27.8,27.828,26.858,50734.77,72725.01,74283.31,0.42
2016-02-26,28.0,28.15,27.98,27.75,43638.5,0.08,0.29,28.026,27.794,26.869,50633.44,80852.39,74253.95,0.4
2016-02-25,28.24,28.57,27.81,27.01,98238.46,-0.43,-1.52,28.008,27.608,26.83,51296.08,82293.06,74412.34,0.9
2016-02-24,27.93,28.29,28.25,27.7,29226.58,0.4,1.44,28.04,27.426,26.779,54478.17,79755.8,72026.56,0.27
2016-02-23,28.4,28.4,27.8,27.56,36621.07,-0.51,-1.8,27.97,27.158,26.729,82922.78,79864.7,74529.37,0.33
2016-02-22,28.1,28.38,28.29,27.83,45442.58,0.49,1.76,27.856,26.939,26.706,94715.26,81338.64,75714.08,0.42
2016-02-19,27.96,28.03,27.89,27.49,46951.7,-0.1,-0.36,27.562,26.63,26.621,111071.34,84672.03,75319.8,0.43
2016-02-18,28.2,28.49,27.97,27.78,114148.9,0.08,0.29,27.208,26.428,26.551,113290.05,88712.98,75807.29,1.04
2016-02-17,26.98,28.26,27.9,26.95,171449.64,0.68,2.5,26.812,26.155,26.498,105033.43,83460.18,76226.18,1.57
2016-02-16,26.99,27.5,27.23,26.58,95583.47,0.39,1.45,26.346,25.95,26.444,76806.62,77284.08,73841.86,0.87
2016-02-15,25.56,27.08,26.82,25.5,127222.98,0.7,2.68,26.022,25.887,26.426,67962.01,75841.62,75644.03,1.16
2016-02-05,25.9,26.42,26.12,25.86,58045.25,0.15,0.58,25.698,25.944,26.454,58272.73,67655.51,76942.72,0.53
2016-02-04,25.79,26.15,25.99,25.79,72865.82,0.43,1.68,25.648,26.051,26.548,64135.91,66531.63,82371.44,0.67
2016-02-03,25.17,25.57,25.57,25.16,30315.56,-0.03,-0.12,25.498,26.131,26.644,61886.93,64297.33,79679.1,0.28
2016-02-02,25.25,25.75,25.61,25.25,51360.45,0.39,1.55,25.554,26.299,26.837,77761.55,69194.03,83203.17,0.47
2016-02-01,25.8,25.84,25.2,25.02,78776.55,-0.66,-2.55,25.752,26.472,26.996,83721.22,70089.53,85121.45,0.72
2016-01-29,25.19,25.98,25.87,25.15,87361.18,0.63,2.5,26.19,26.612,27.151,77038.29,65967.57,84155.77,0.8
2016-01-28,25.8,26.07,25.24,25.15,61620.9,-0.63,-2.44,26.454,26.674,27.335,68927.34,62901.59,82463.52,0.56
2016-01-27,25.51,26.75,25.85,25.31,109688.66,-0.79,-2.96,26.764,26.84,27.572,66707.73,68992.18,82299.38,1.0
2016-01-26,27.01,27.38,26.6,26.31,81158.83,-0.78,-2.85,27.044,26.938,27.776,60626.52,70399.64,78815.01,0.74
2016-01-25,27.41,27.79,27.39,27.02,45361.87,0.2,0.74,27.192,26.964,27.921,56457.83,75446.45,79651.58,0.41
2016-01-22,26.83,27.36,27.19,26.73,46806.43,0.38,1.42,27.034,26.964,28.064,54896.86,86229.93,79637.89,0.43
2016-01-21,26.8,27.24,26.79,26.65,50522.84,-0.45,-1.65,26.894,27.045,28.214,56875.85,98211.25,79525.08,0.46
2016-01-20,27.25,27.99,27.25,27.01,79282.63,-0.09,-0.33,26.916,27.156,28.389,71276.63,95060.87,84563.54,0.73
2016-01-19,26.61,27.43,27.34,26.42,60315.39,0.75,2.82,26.832,27.374,28.57,80172.76,97212.3,86436.95,0.55
2016-01-18,26.39,26.69,26.6,26.01,37557.01,0.11,0.41,26.736,27.52,28.774,94435.07,100153.38,92034.72,0.34
2016-01-15,26.87,27.08,26.49,26.2,56701.36,-0.38,-1.41,26.894,27.689,28.98,117562.99,102343.96,94945.2,0.52
2016-01-14,26.55,27.05,26.9,26.0,122526.75,0.11,0.41,27.196,27.995,29.18,139546.65,102025.45,97878.63,1.12
2016-01-13,27.42,27.94,26.83,26.6,123763.29,0.01,0.04,27.396,28.303,29.339,118845.1,95606.59,94107.26,1.13
2016-01-12,27.36,27.57,26.86,26.8,131626.94,-0.25,-0.92,27.916,28.613,29.497,114251.84,87230.39,91634.93,1.2
2016-01-11,28.0,28.08,27.39,26.81,153196.62,-0.64,-2.28,28.304,28.877,29.651,105871.68,83856.72,87678.77,1.4
2016-01-08,28.58,28.81,28.0,27.61,166619.66,0.01,0.04,28.484,29.164,29.775,87124.92,73045.85,82635.06,1.52
2016-01-07,29.19,29.19,27.9,27.83,19019.0,-1.6,-5.42,28.794,29.383,29.875,64504.26,60838.92,78429.84,0.17
2016-01-06,28.9,29.59,29.43,28.8,100796.97,0.67,2.33,29.21,29.621,29.964,72368.07,74066.21,80791.98,0.92
2016-01-05,27.52,29.2,28.8,27.52,89726.16,0.53,1.88,29.31,29.765,29.98,60208.93,75661.59,78813.69,0.82
2016-01-04,29.53,29.54,28.29,28.17,59462.81,-1.23,-4.17,29.45,30.028,30.061,61841.75,83916.06,77452.45,0.54
2015-12-31,29.97,30.0,29.55,29.48,53516.35,-0.42,-1.4,29.844,30.27,30.152,58966.79,87546.45,79144.97,0.49
2015-12-30,30.16,30.2,29.98,29.75,58338.05,0.05,0.17,29.972,30.365,30.18,57173.58,93731.81,79475.4,0.53
2015-12-29,29.42,29.95,29.93,29.42,40001.3,0.48,1.63,30.032,30.375,30.184,75764.35,92607.94,83372.83,0.37
2015-12-28,30.37,30.44,29.5,29.42,97890.26,-0.76,-2.51,30.22,30.38,30.152,91114.25,96039.48,88293.92,0.9
2015-12-25,30.33,30.48,30.26,30.09,45087.98,0.05,0.17,30.606,30.425,30.108,105990.36,91500.83,88616.64,0.41
2015-12-24,30.35,30.45,30.19,30.1,44550.3,-0.08,-0.26,30.696,30.386,30.023,116126.11,92224.26,92569.14,0.41
