date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-19,6.19,6.27,6.22,6.15,189568.31,0.04,0.65,6.092,5.971,6.061,236079.59,209875.64,250740.12,0.95
2016-02-18,6.23,6.29,6.19,6.14,267210.84,0.0,0.0,6.024,5.934,6.055,227139.58,215510.25,252740.55,1.34
2016-02-17,6.01,6.36,6.2,5.99,331991.56,0.15,2.48,5.972,5.884,6.066,219987.91,218109.71,251185.63,1.66
2016-02-16,5.81,6.05,6.05,5.81,252331.55,0.25,4.31,5.9,5.875,6.071,185371.89,227494.65,245266.9,1.26
2016-02-15,5.65,5.86,5.8,5.61,139295.7,-0.07,-1.19,5.864,5.909,6.096,175842.75,265462.55,245131.54,0.7
2016-02-05,5.94,5.98,5.88,5.87,144868.27,-0.05,-0.84,5.85,5.952,6.128,183671.69,268961.02,255190.28,0.72
2016-02-04,5.84,6.0,5.93,5.84,231452.48,0.09,1.54,5.844,5.978,6.19,203880.92,271804.47,264766.19,1.16
2016-02-03,5.79,5.86,5.84,5.72,158911.44,-0.04,-0.68,5.796,5.991,6.248,216231.51,269753.3,258153.72,0.79
2016-02-02,5.72,5.92,5.87,5.71,204685.86,0.15,2.62,5.85,6.042,6.35,269617.41,278071.45,264150.57,1.02
2016-02-01,5.86,5.9,5.73,5.63,178440.41,-0.13,-2.22,5.954,6.101,6.441,355082.36,288311.77,274077.41,0.89
2016-01-29,5.7,5.95,5.85,5.64,245914.41,0.16,2.81,6.054,6.15,6.554,354250.35,291604.59,281419.38,1.23
2016-01-28,6.02,6.23,5.69,5.66,293205.44,-0.42,-6.87,6.112,6.176,6.705,339728.03,289970.85,286321.29,1.47
2016-01-27,6.32,6.39,6.11,5.77,425840.91,-0.28,-4.38,6.186,6.248,6.872,323275.09,284261.55,307321.68,2.13
2016-01-26,6.17,6.79,6.39,6.07,632010.62,0.16,2.57,6.234,6.266,7.024,286525.49,263039.15,320267.25,3.16
2016-01-25,6.22,6.32,6.23,6.16,174280.38,0.08,1.3,6.248,6.283,7.142,221541.19,224800.52,321115.97,0.87
2016-01-22,6.16,6.19,6.14,6.01,173302.78,0.07,1.15,6.246,6.303,7.263,228958.83,241419.53,320621.22,0.87
2016-01-21,6.26,6.4,6.06,6.05,210940.77,-0.29,-4.57,6.24,6.402,7.387,240213.68,257727.91,323632.89,1.05
2016-01-20,6.4,6.49,6.35,6.31,242092.89,-0.11,-1.7,6.31,6.505,7.523,245248.01,246554.13,331828.59,1.21
2016-01-19,6.19,6.5,6.46,6.13,307089.12,0.26,4.19,6.298,6.657,7.645,239552.82,250229.69,331934.62,1.54
2016-01-18,6.01,6.35,6.22,5.9,211368.58,0.11,1.8,6.318,6.781,7.763,228059.86,259843.06,333693.14,1.06
2016-01-15,6.39,6.5,6.11,6.02,229577.03,-0.29,-4.53,6.36,6.957,7.89,253880.23,271234.16,336895.36,1.15
2016-01-14,6.05,6.45,6.41,6.0,236112.45,0.13,2.07,6.564,7.233,8.023,275242.14,282671.73,341889.75,1.18
2016-01-13,6.62,6.63,6.29,6.18,213616.91,-0.26,-3.97,6.7,7.496,8.134,247860.25,330381.81,339533.59,1.07
2016-01-12,6.43,6.65,6.56,6.32,249624.31,0.13,2.02,7.016,7.782,8.251,260906.56,377495.35,339197.29,1.25
2016-01-11,6.99,7.03,6.43,6.42,340470.44,-0.7,-9.82,7.244,8.0,8.358,291626.26,417431.42,340662.53,1.7
2016-01-08,7.27,7.43,7.13,6.5,336386.59,0.03,0.42,7.554,8.222,8.461,288588.1,399822.91,332853.77,1.68
2016-01-07,7.72,7.74,7.09,7.09,99203.0,-0.79,-10.03,7.902,8.371,8.53,290101.33,389537.87,327676.15,0.5
2016-01-06,7.7,7.98,7.87,7.7,278848.44,0.18,2.34,8.292,8.54,8.605,412903.38,417103.04,337843.84,1.39
2016-01-05,7.51,7.99,7.7,7.38,403222.81,-0.28,-3.51,8.548,8.633,8.635,494084.14,413639.55,337862.37,2.02
2016-01-04,8.86,8.86,7.98,7.97,325279.66,-0.88,-9.93,8.756,8.745,8.692,543236.58,407543.23,327896.47,1.63
2015-12-31,8.93,9.1,8.87,8.85,343952.72,-0.17,-1.88,8.89,8.822,8.736,511057.71,402556.56,326072.48,1.72
2015-12-30,9.25,9.47,9.04,9.01,713213.25,-0.1,-1.09,8.84,8.813,8.74,488974.41,401107.76,323144.54,3.57
2015-12-29,8.69,9.15,9.15,8.65,684752.25,0.42,4.81,8.788,8.771,8.733,421302.71,348685.37,302819.08,3.42
2015-12-28,8.66,9.18,8.74,8.63,648985.0,0.09,1.04,8.718,8.719,8.714,333194.97,300899.23,281268.19,3.24
2015-12-25,8.62,8.67,8.65,8.56,164385.34,0.03,0.35,8.734,8.716,8.719,271849.88,263893.65,267086.06,0.82
2015-12-24,8.79,8.79,8.62,8.52,233536.19,-0.16,-1.82,8.754,8.7,8.724,294055.42,265884.64,288905.44,1.17
