date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-29,14.07,14.25,13.7,13.44,34089.33,-0.36,-2.56,14.378,14.605,14.524,27597.96,29254.94,29213.57,0.34
2016-02-26,14.13,14.23,14.06,13.81,18855.41,0.08,0.57,14.682,14.641,14.545,27684.85,27792.66,29913.05,0.19
2016-02-25,15.21,15.21,13.98,13.98,35563.66,-1.22,-8.03,14.886,14.655,14.526,32172.14,28062.81,30072.02,0.35
2016-02-24,15.03,15.28,15.2,14.78,27749.5,0.25,1.67,15.024,14.742,14.487,30379.7,26274.12,29953.17,0.28
2016-02-23,15.21,15.21,14.95,14.78,21731.9,-0.26,-1.71,14.922,14.702,14.433,29586.98,25589.66,30846.21,0.22
2016-02-22,15.41,15.46,15.22,14.96,34523.8,0.13,0.86,14.832,14.716,14.405,30911.92,26299.94,32481.29,0.34
2016-02-19,14.61,15.25,15.08,14.53,41291.84,0.42,2.87,14.6,14.655,14.348,27900.47,25701.11,32738.71,0.41
2016-02-18,14.74,14.86,14.67,14.6,26601.46,0.0,0.0,14.424,14.626,14.297,23953.47,25733.45,33179.69,0.26
2016-02-17,14.51,14.74,14.69,14.4,23785.91,0.2,1.38,14.46,14.585,14.268,22168.54,26525.21,34459.52,0.24
2016-02-16,14.05,14.6,14.5,14.05,28356.58,0.44,3.13,14.482,14.559,14.225,21592.34,28499.49,36221.66,0.28
2016-02-15,13.66,14.23,14.06,13.66,19466.56,-0.17,-1.2,14.6,14.442,14.2,21687.95,29172.2,36812.75,0.19
2016-02-05,14.94,14.94,14.2,14.2,21556.84,-0.64,-4.31,14.71,14.449,14.189,23501.75,32033.43,39466.66,0.21
2016-02-04,14.75,14.97,14.85,14.71,17676.83,0.06,0.41,14.828,14.397,14.246,27513.43,32081.24,42822.09,0.18
2016-02-03,14.79,14.96,14.8,14.46,20904.88,-0.25,-1.66,14.71,14.232,14.271,30881.87,33632.22,42675.0,0.21
2016-02-02,14.56,15.1,15.09,14.35,28834.66,0.48,3.29,14.636,14.164,14.385,35406.63,36102.77,44913.5,0.29
2016-02-01,14.85,15.31,14.61,14.21,28535.54,-0.26,-1.75,14.284,14.094,14.476,36656.44,38662.64,46885.26,0.28
2016-01-29,14.1,14.98,14.79,14.1,41615.22,0.48,3.35,14.188,14.04,14.609,40565.11,39776.3,47264.52,0.41
2016-01-28,14.18,14.38,14.26,13.85,34519.06,-0.13,-0.9,13.966,13.967,14.803,36649.05,40625.92,46601.69,0.34
2016-01-27,13.45,14.47,14.43,13.11,43528.68,1.09,8.17,13.754,13.951,15.05,36382.56,42393.83,48237.64,0.43
2016-01-26,13.99,14.15,13.33,13.31,35083.69,-0.86,-6.06,13.692,13.89,15.283,36798.9,43943.83,49479.34,0.35
2016-01-25,13.75,14.35,14.13,13.56,48078.92,0.5,3.67,13.904,13.957,15.547,40668.84,44453.31,52192.86,0.48
2016-01-22,13.44,13.76,13.68,13.18,22034.91,0.49,3.71,13.892,13.928,15.856,38987.49,46899.89,53674.06,0.22
2016-01-21,13.86,14.2,13.2,13.13,33186.6,-0.91,-6.45,13.968,14.095,16.171,44602.8,53562.94,56225.07,0.33
2016-01-20,14.27,14.52,14.12,13.93,45610.38,-0.27,-1.88,14.148,14.31,16.516,48405.09,51717.78,60762.52,0.45
2016-01-19,14.05,14.53,14.39,13.82,54433.39,0.33,2.35,14.088,14.606,16.861,51088.76,53724.23,66190.57,0.54
2016-01-18,13.9,14.26,14.07,13.7,39672.15,0.01,0.07,14.01,14.857,17.098,48237.78,55107.88,67966.37,0.39
2016-01-15,14.1,14.59,14.06,13.7,50111.46,-0.05,-0.35,13.964,15.178,17.301,54812.3,54752.74,70003.73,0.5
2016-01-14,13.3,14.3,14.1,13.05,52198.08,0.29,2.1,14.222,15.638,17.476,62523.08,52577.46,70434.26,0.52
2016-01-13,14.14,14.3,13.82,13.46,59028.72,-0.21,-1.5,14.472,16.148,17.621,55030.47,54081.44,69746.27,0.59
2016-01-12,13.92,14.2,14.0,13.52,40178.47,0.17,1.23,15.124,16.676,17.788,56359.69,55014.84,68872.13,0.4
2016-01-11,15.03,15.14,13.84,13.82,72544.79,-1.52,-9.9,15.704,17.136,17.943,61977.99,59932.42,69380.77,0.72
2016-01-08,15.41,15.8,15.35,14.8,88665.36,0.0,0.0,16.392,17.783,18.101,54693.18,60448.22,68211.87,0.88
2016-01-07,16.98,16.98,15.35,15.35,14735.0,-1.7,-9.97,17.054,18.246,18.208,42631.84,58887.2,67905.14,0.15
2016-01-06,16.9,17.13,17.08,16.58,65674.84,0.19,1.12,17.824,18.721,18.34,53132.42,69807.25,74027.19,0.65
2016-01-05,16.75,17.48,16.9,16.2,68269.95,-0.38,-2.2,18.228,19.115,18.322,53669.99,78656.92,72771.28,0.68
2016-01-04,18.78,18.83,17.28,17.0,36120.75,-1.5,-7.99,18.568,19.339,18.307,57886.85,80824.86,70835.32,0.36
2015-12-31,19.29,19.3,18.66,18.53,28358.68,-0.63,-3.27,19.174,19.423,18.275,66203.25,85254.71,71477.96,0.28
2015-12-30,18.88,19.58,19.2,18.69,67237.89,0.15,0.79,19.438,19.314,18.184,75142.55,88291.06,73178.7,0.67
2015-12-29,18.98,19.33,19.1,18.01,68362.67,0.37,1.98,19.618,19.094,18.058,86482.09,85411.1,72697.94,0.68
2015-12-28,20.32,20.58,18.6,18.6,89354.24,-1.86,-9.09,20.002,18.9,17.931,103643.86,82729.42,71842.18,0.89
2015-12-25,19.72,20.83,20.31,19.48,77702.78,0.36,1.8,20.11,18.75,17.779,103762.88,78829.13,68688.7,0.77
2015-12-24,19.9,20.0,19.98,19.2,73055.16,-0.12,-0.6,19.672,18.419,17.524,104306.17,75975.53,66667.03,0.73
2015-12-23,21.02,21.21,20.1,19.82,123935.58,-0.92,-4.38,19.19,18.17,17.334,101439.57,76923.09,64900.99,1.23
2015-12-22,19.15,21.02,21.02,18.69,154171.52,1.91,9.99,18.57,17.958,17.144,84340.12,78247.12,60180.3,1.53
2015-12-21,18.18,19.17,19.14,17.9,89949.34,0.97,5.34,17.798,17.528,16.906,61814.98,66885.64,54262.75,0.89
2015-12-18,17.56,18.41,18.12,17.27,80419.24,0.53,3.01,17.39,17.274,16.778,53895.38,60845.79,51978.45,0.8
2015-12-17,16.95,17.7,17.57,16.95,58722.16,0.54,3.17,17.166,17.126,16.7,47644.89,57701.21,49635.16,0.58
2015-12-16,17.16,17.48,17.0,16.89,38438.33,-0.16,-0.93,17.15,17.054,16.654,52406.61,58066.34,49084.94,0.38
2015-12-15,17.02,17.25,17.16,16.93,41545.81,0.13,0.76,17.346,17.021,16.646,72154.13,59984.78,51136.62,0.41
2015-12-14,16.62,17.1,17.1,16.59,50351.36,0.08,0.47,17.258,16.961,16.596,71956.3,60954.94,50917.97,0.5
